paragraph_number,paragraph_text,citation,part,predicted_label
28,"בית המשפט העליון חזר והדגיש את מגמת ההחמרה בעבירות נשק השונות, ואת החומרה היתרה שבביצוען. זאת בשל הסיכון הממשי לשלום הציבור והפגיעה בערכים המוגנים של שלמות הגוף וחיי אדם. במציאות הישראלית נשק בלתי חוקי עלול להגיע לידי אחרים שיעשו בו שימוש הן לפעילות חבלנית עוינת על רקע ביטחוני, הן לפעילות עבריינית. לאור זאת, ננקטת מגמת החמרה בענישה בעבירות נשק, כך שזו תבטא באופן הולם את פוטנציאל ההרס הרב הגלום בהן. עוד נקבע כי ראוי ונכון להחמיר את מדיניות הענישה הנוהגת, זאת בין היתר כדי להיאבק בתופעה של שימוש גובר בנשק חם כאמצעי ליישוב סכסוכים. ביעור תופעת נשיאת והחזקת כלי נשק בלתי חוקיים הוא אפוא אינטרס ציבורי חשוב ותנאי הכרחי למאבק בתופעות הפשיעה האלימה לסוגיה, ויש לעשות כן, בין היתר, באמצעות ענישה מחמירה (ראו למשל, דברי כב' השופט ע' גרוסקופף בע""פ 5446/19 מדינת ישראל נ' הוארי [25.11.19], כב' השופטים י' אלרון ומ' מזוז בע""פ 4406/19 מדינת ישראל נ' סובח [5.11.19], כב' השופטת ע' ברון בע""פ 2564/19 אזברגה נ' מדינת ישראל [18.07.19], וכב' השופט א' שטיין בע""פ 1509/20 מדינת ישראל נ' נבארי [2.7.20]).","ע""פ 5446/19",דיון - קביעת מתחם העונש ההולם,0
28,"בית המשפט העליון חזר והדגיש את מגמת ההחמרה בעבירות נשק השונות, ואת החומרה היתרה שבביצוען. זאת בשל הסיכון הממשי לשלום הציבור והפגיעה בערכים המוגנים של שלמות הגוף וחיי אדם. במציאות הישראלית נשק בלתי חוקי עלול להגיע לידי אחרים שיעשו בו שימוש הן לפעילות חבלנית עוינת על רקע ביטחוני, הן לפעילות עבריינית. לאור זאת, ננקטת מגמת החמרה בענישה בעבירות נשק, כך שזו תבטא באופן הולם את פוטנציאל ההרס הרב הגלום בהן. עוד נקבע כי ראוי ונכון להחמיר את מדיניות הענישה הנוהגת, זאת בין היתר כדי להיאבק בתופעה של שימוש גובר בנשק חם כאמצעי ליישוב סכסוכים. ביעור תופעת נשיאת והחזקת כלי נשק בלתי חוקיים הוא אפוא אינטרס ציבורי חשוב ותנאי הכרחי למאבק בתופעות הפשיעה האלימה לסוגיה, ויש לעשות כן, בין היתר, באמצעות ענישה מחמירה (ראו למשל, דברי כב' השופט ע' גרוסקופף בע""פ 5446/19 מדינת ישראל נ' הוארי [25.11.19], כב' השופטים י' אלרון ומ' מזוז בע""פ 4406/19 מדינת ישראל נ' סובח [5.11.19], כב' השופטת ע' ברון בע""פ 2564/19 אזברגה נ' מדינת ישראל [18.07.19], וכב' השופט א' שטיין בע""פ 1509/20 מדינת ישראל נ' נבארי [2.7.20]).","ע""פ 4406/19",דיון - קביעת מתחם העונש ההולם,0
28,"בית המשפט העליון חזר והדגיש את מגמת ההחמרה בעבירות נשק השונות, ואת החומרה היתרה שבביצוען. זאת בשל הסיכון הממשי לשלום הציבור והפגיעה בערכים המוגנים של שלמות הגוף וחיי אדם. במציאות הישראלית נשק בלתי חוקי עלול להגיע לידי אחרים שיעשו בו שימוש הן לפעילות חבלנית עוינת על רקע ביטחוני, הן לפעילות עבריינית. לאור זאת, ננקטת מגמת החמרה בענישה בעבירות נשק, כך שזו תבטא באופן הולם את פוטנציאל ההרס הרב הגלום בהן. עוד נקבע כי ראוי ונכון להחמיר את מדיניות הענישה הנוהגת, זאת בין היתר כדי להיאבק בתופעה של שימוש גובר בנשק חם כאמצעי ליישוב סכסוכים. ביעור תופעת נשיאת והחזקת כלי נשק בלתי חוקיים הוא אפוא אינטרס ציבורי חשוב ותנאי הכרחי למאבק בתופעות הפשיעה האלימה לסוגיה, ויש לעשות כן, בין היתר, באמצעות ענישה מחמירה (ראו למשל, דברי כב' השופט ע' גרוסקופף בע""פ 5446/19 מדינת ישראל נ' הוארי [25.11.19], כב' השופטים י' אלרון ומ' מזוז בע""פ 4406/19 מדינת ישראל נ' סובח [5.11.19], כב' השופטת ע' ברון בע""פ 2564/19 אזברגה נ' מדינת ישראל [18.07.19], וכב' השופט א' שטיין בע""פ 1509/20 מדינת ישראל נ' נבארי [2.7.20]).","ע""פ 2564/19",דיון - קביעת מתחם העונש ההולם,0
28,"בית המשפט העליון חזר והדגיש את מגמת ההחמרה בעבירות נשק השונות, ואת החומרה היתרה שבביצוען. זאת בשל הסיכון הממשי לשלום הציבור והפגיעה בערכים המוגנים של שלמות הגוף וחיי אדם. במציאות הישראלית נשק בלתי חוקי עלול להגיע לידי אחרים שיעשו בו שימוש הן לפעילות חבלנית עוינת על רקע ביטחוני, הן לפעילות עבריינית. לאור זאת, ננקטת מגמת החמרה בענישה בעבירות נשק, כך שזו תבטא באופן הולם את פוטנציאל ההרס הרב הגלום בהן. עוד נקבע כי ראוי ונכון להחמיר את מדיניות הענישה הנוהגת, זאת בין היתר כדי להיאבק בתופעה של שימוש גובר בנשק חם כאמצעי ליישוב סכסוכים. ביעור תופעת נשיאת והחזקת כלי נשק בלתי חוקיים הוא אפוא אינטרס ציבורי חשוב ותנאי הכרחי למאבק בתופעות הפשיעה האלימה לסוגיה, ויש לעשות כן, בין היתר, באמצעות ענישה מחמירה (ראו למשל, דברי כב' השופט ע' גרוסקופף בע""פ 5446/19 מדינת ישראל נ' הוארי [25.11.19], כב' השופטים י' אלרון ומ' מזוז בע""פ 4406/19 מדינת ישראל נ' סובח [5.11.19], כב' השופטת ע' ברון בע""פ 2564/19 אזברגה נ' מדינת ישראל [18.07.19], וכב' השופט א' שטיין בע""פ 1509/20 מדינת ישראל נ' נבארי [2.7.20]).","ע""פ 1509/20",דיון - קביעת מתחם העונש ההולם,0
29,"בחינת מידת הפגיעה בערך המוגן מובילה למסקנה כי הפגיעה היא ברף בינוני. הנאשם קיבל לידיו נשק מסוג רובה מיקרו תבור עם כוונת M5 שנגנב מרשות הצבא והסיע את הנשק לעיר לוד. הנאשם החזיק את הנשק ברשותו למשך כיממה והנשק לא אותר חרף מאמצי המשטרה. בית-המשפט העליון קבע לא אחת כי יש להחמיר במיוחד במקרים שבהם נגנב נשק מרשות צה""ל, וביתר שאת במקרים שבהם הנשק לא אותר ולא הושב. זאת משום שבמקרים אלה קיימת סכנה ממשית לכך שהנשק ייפול בידי גורמים פליליים או חבלניים אשר יעשו בו שימוש לשם פגיעה בביטחון הציבור (ראו דברי כב' השופטת י' וילנר בע""פ 9919/17 זועבי נ' מדינת ישראל [9.7.19] וכן ע""פ 1332/04 מדינת ישראל נ' פס [19.4.04]).","ע""פ 9919/17",דיון - קביעת מתחם העונש ההולם,0
29,"בחינת מידת הפגיעה בערך המוגן מובילה למסקנה כי הפגיעה היא ברף בינוני. הנאשם קיבל לידיו נשק מסוג רובה מיקרו תבור עם כוונת M5 שנגנב מרשות הצבא והסיע את הנשק לעיר לוד. הנאשם החזיק את הנשק ברשותו למשך כיממה והנשק לא אותר חרף מאמצי המשטרה. בית-המשפט העליון קבע לא אחת כי יש להחמיר במיוחד במקרים שבהם נגנב נשק מרשות צה""ל, וביתר שאת במקרים שבהם הנשק לא אותר ולא הושב. זאת משום שבמקרים אלה קיימת סכנה ממשית לכך שהנשק ייפול בידי גורמים פליליים או חבלניים אשר יעשו בו שימוש לשם פגיעה בביטחון הציבור (ראו דברי כב' השופטת י' וילנר בע""פ 9919/17 זועבי נ' מדינת ישראל [9.7.19] וכן ע""פ 1332/04 מדינת ישראל נ' פס [19.4.04]).","ע""פ 1332/04",דיון - קביעת מתחם העונש ההולם,0
33,"בע""פ 4530/19 ג'זאווי נ' מדינת ישראל (11.8.19), נדחה ערעורו של נאשם אשר הורשע בעבירות של נשיאת נשק ואבזר נשק, ובפריצה לרכב וגניבה מרכב. הנאשם פרץ לרכב חונה ונגנב ממנו רובה מסוג 16-M מקוצר שחיילת הותירה ברכב. הנשק לא הושב. נקבע מתחם שבין 26 ל-52 חודשי מאסר בפועל, והנאשם, ללא עבר פלילי, נדון ל-32 חודשי מאסר בפועל.","ע""פ 4530/19",דיון - קביעת מתחם העונש ההולם,1
34,"בע""פ 5677/12 מג'ד נ' מדינת ישראל (31.1.13), נדחה ערעורו של נאשם אשר הורשע בעבירת נשיאת נשק. חבריו של הנאשם נסעו לכיוון מוצב בצפון, בו שרת אחד מהם, לשם גניבת נשק מסוג מאג שהותקן על גבי רכב צבאי. החברים התקשרו לנאשם ובקשו ממנו להתלוות אליהם בנסיעה ולהוביל את רכבם בנסיעה לפניהם לשם מניעת תפיסתם. הנאשם נענה לבקשה. האחרים גנבו את כלי הנשק, הסתירו אותו בתא המטען של רכבם ועזבו את המקום כשהנאשם נוסע ברכבו לפניהם עד להגעתם למקום מגוריו של הנאשם ומשם המשיכו בדרכם. הנאשם ללא עבר פלילי נדון לעונש של 24 חודשי מאסר בפועל לצד ענישה נלווית.","ע""פ 5677/12",דיון - קביעת מתחם העונש ההולם,1
35,"בע""פ 6347/17 מגאהד נ' מדינת ישראל (2.1.18), נדחה ערעור נאשם אשר הורשע על פי הודאתו בעבירות של קשירת קשר לביצוע פשע והובלת נשק ואביזר לנשק. הנאשם קשר עם אחר להעברת נשק מהעיר שכם לשטחי מדינת ישראל בתמורה כספית. במסגרת הקשר, הגיע הנאשם ברכב למחסום בצומת תפוח, ובבדיקה נתפס רובה סער דמוי M-4 וכדורים. בית המשפט המחוזי קבע מתחם עונש הנע בין 20 ל-40 חודשי מאסר. הנאשם בעל עבר פלילי לא מכביד נדון לעונש של 28 חודשי מאסר בפועל.","ע""פ 6347/17",דיון - קביעת מתחם העונש ההולם,1
36,"בע""פ 3336/18 מדינת ישראל נ' סמארה (29.11.18), בית המשפט העליון החמיר את עונשו של נאשם שהורשע על פי הודאתו בעבירה של נשיאת נשק ותחמושת. הנאשם נשא ברכבו שני רובי קרל גוסטב מאולתרים, מחסניות וכדורים. שוטרים נסעו אחרי רכב הנאשם וכרזו לו לעצור ובעקבות כך הנאשם החל בנסיעה מהירה וכשהגיע לדרך ללא מוצא – נעצר. נקבע מתחם עונש הנע בין 16 ל-40 חודשי מאסר בפועל. הנאשם בעל עבר פלילי ישן נדון לעונש של 18 חודשי מאסר בפועל. בית המשפט העליון העמיד את העונש על 24 חודשי מאסר בפועל.","ע""פ 3336/18",דיון - קביעת מתחם העונש ההולם,1
