verdict,text,part
"ת""פ 17135-07-10","הנאשם הורשע על פי הודאתו בעובדות כתב האישום בעבירה של החזקת נשק שלא כדין, לפי סעיף 144 (א) רישא לחוק העונשין, תשל""ז -1977.",גזר דין
"ת""פ 17135-07-10","על פי עובדות כתב האישום, בתאריך 7.7.10 החזיק הנאשם עבור אחר אקדח שמספרו הושחת שהוא מוסלק בתוך גרב על גג פח במרפסת בביתו בלוד.",גזר דין
"ת""פ 17135-07-10",הצדדים לא הסכימו לעניין העונש. ,גזר דין
"ת""פ 17135-07-10","במסגרת השיקולים לחומרה, יש ליתן את הדעת לכך שמדובר בעבירה של החזקת אקדח.",גזר דין
"ת""פ 17135-07-10","בעבירות מסוג זה פסיקת בתי המשפט מחייבת החמרה בענישה, וזאת בכדי להילחם בתופעת החזקת הנשקים.",גזר דין
"ת""פ 17135-07-10","כפי שנקבע לא אחת, הנשקים שמוחזקים סופם שייעשה בהם שימוש מסוכן.",גזר דין
"ת""פ 17135-07-10",הסלקת הנשק במקום מסתור וכן השחתת המספר מהווים אינדיקציה לכך שהמטרה ביסוד החזקת הנשק הייתה מטרה פסולה.,גזר דין
"ת""פ 17135-07-10","עוד אציין במסגרת השיקולים לחומרה את תסקיר שירות המבחן, אשר מציין כי על אף שהנאשם מודה בביצוע העבירה, הרי שהוא מטשטש את נסיבות ביצועה.",גזר דין
"ת""פ 17135-07-10",כלפי שירות המבחן טען הנאשם כי הוצע לו לרכוש את הנשק ולאחר כשבוע בחר לקנות אותו.,גזר דין
"ת""פ 17135-07-10","נסיבות אלה, אשר אינן עולות בקנה אחד עם האמור בכתב האישום שבו הודה הנאשם, מובילות למסקנה כי רב הנסתר על הנגלה בעניין הנסיבות שבהן החזיק הנאשם בנשק.",גזר דין
"ת""פ 17135-07-10","שירות המבחן אף מציין בתסקירו כי התרשם שהנאשם נמצא בצומת דרכים, וכי הוא זקוק לענישה קונקרטית על מנת להגדיר את מודעותו למצבי סיכון להידרדרות בו הוא נמצא.",גזר דין
"ת""פ 17135-07-10","לעומת זאת במסגרת השיקולים לקולא, יש ליתן את הדעת לכך שאין לחובתו של הנאשם כל עבר פלילי קודם וכי הודה באשמה בהזדמנות הראשונה.",גזר דין
"ת""פ 17135-07-10","עיינתי בפסיקה שהגישו שני הצדדים, ואכן יש בפסיקה זו כדי להוות אינדיקציה לענישה הראויה במקרה דנן.",גזר דין
"ת""פ 17135-07-10","אשר על כן, אני גוזר על הנאשם את העונשים הבאים:",גזר דין
"ת""פ 17135-07-10","שמונה חודשי מאסר בפועל שמניינם החל מיום מעצרו, 7.7.10.",גזר דין
"ת""פ 17135-07-10",שישה חודשי מאסר על תנאי לבל יעבור הנאשם במשך שלוש שנים מיום שחרורו מן המאסר כל עבירה בעניין הנשק לפי סעיף 144 לחוק העונשין.,גזר דין
"ת""פ 17135-07-10","בנסיבות העניין ולאור תקופת המאסר שנגזרה על הנאשם, לא מצאתי לנכון אף להטיל עליו קנס.",גזר דין
"ת""פ 17135-07-10",הנשק יחולט או יושמד לפי שיקול דעת המדינה. ,גזר דין
"ת""פ 17135-07-10",זכות ערעור לבית המשפט המחוזי תוך 45 ימים.,גזר דין
"ת""פ 17135-07-10","ניתנה והודעה היום ו' חשון תשע""א, 14/10/2010 במעמד הנוכחים.   ",<#4#>
"ת""פ 17135-07-10","ד""ר עמי קובו 54678313",<#4#>
"ת""פ 17135-07-10",הוקלד על ידי: ליטל גודלי,54678313
"ת""פ 17135-07-10",נוסח מסמך זה כפוף לשינויי ניסוח ועריכה,54678313
"ת""פ 17135-07-10","בעניין עריכה ושינויים במסמכי פסיקה, חקיקה ועוד באתר נבו – הקש כאן",54678313
