verdict,text,part
תפ (בית שמש) 1386∕04,הנאשם הורשע על פי הודאתו בהסעתם של 6 מבין תושבי האזור שלא היה בידם אישור שהייה בתחומי מדינת ישראל כחוק.,גזר דין
תפ (בית שמש) 1386∕04,"עמדת התביעה היא למאסר בפועל. ברקע לעמדה זו, הוראות החוק, פסיקת בתי המשפט, צוק העתים ונסיבות העניין.",גזר דין
תפ (בית שמש) 1386∕04,לזכות הנאשם העובדה שהודה וחסך מזמנו של בית המשפט.,5129371
תפ (בית שמש) 1386∕04,"לדברי התביעה, אין לחובת הנאשם הרשעות קודמות כלשהן, באשר סבר ב""כ המאשימה שהרשעה ישנה אחת הרשומה לחובתו, צריכה להימחק. ברם, מהאמור בראש העמוד השני לתסקיר שרות המבחן, אליו אתייחס בהמשך הדברים, למד אני כי יתכן ונפלה שגגה אצל בא כוחה הנכבד של המאשימה. ואולם, בשים לב לדבריו, אהיה נכון לצרכו של גזר דין זה, להניח כי אכן על הפרק נאשם שאין לחובתו כל עבר פלילי. נ",5129371
תפ (בית שמש) 1386∕04,"על שולחן בית המשפט הונח תסקיר מטעם שרות המבחן. במצוות החוק אמנע מציטוט האמור בתסקיר, מה גם שלרבים מבין פרטי האמור בתסקיר, יפה הצנעה. מעבר לכך, יצויין, שהנאשם כבן 34, נישא בשנית אך לאחרונה, אך מפרנס הוא גם בת מנישואין קודמים. מכל מקום, סבורה קצינת המבחן, בסופו של יום, כי על הפרק נאשם שקיבל את האחריות למעידתו ומתחרט עליה, והתרשמתי גם אני שכך מצב הדברים. ב",5129371
תפ (בית שמש) 1386∕04,"בשים לב לחומרת העבירה, ובפרט לעובדה שעל הפרק הסעה המתייחסת ל- 6 מבין תושבי האזור, מעונש של מאסר - אתקשה להימנע. עם זאת, נוכח הודיית הנאשם וכל האמור לעיל, לא אמצה עימו את הדין. את הביטוי לנכונותי להימנע ממיצוי הדין עם הנאשם, אתן בכך שאהיה נכון להגביל במידת הניתן את ארכה של תקופת המאסר. ו",5129371
תפ (בית שמש) 1386∕04,"סוף דבר, גוזר אני כדלקמן:",5129371
תפ (בית שמש) 1386∕04,מאסר - מאסר בפועל לתקופה של 20 יום.נ,5129371
תפ (בית שמש) 1386∕04,מאסר על תנאי - מאסר על תנאי לתקופה של 3 חודשים. הנאשם ישא בעונש זה אם בתקופה של שנתיים מהיום יעבור על עבירה נוספת לפי חוק הכניסה לישראל. ב,5129371
תפ (בית שמש) 1386∕04,זכות ערעור על פסק הדין תוך 45 יום מהיום. ,5129371
תפ (בית שמש) 1386∕04,"ניתן היום ט' בניסן, תשס""ה (18 באפריל 2005) במעמד הצדדים. ו",5129371
תפ (בית שמש) 1386∕04,"ב""כ הנאשם: מבקש עיכוב ביצוע.נ","אלכסנדר רון, שופט"
תפ (בית שמש) 1386∕04,"בשלב זה אקבע את תחילת ריצוי העונש למועד המאוחר מפרק הזמן להגשת ערעור, ואם איווכח, בעקבות בקשה שתוגש לי, שהוגש אכן ערעור, אשקול עיכוב ביצוע עד למתן פסק הדין בערעור. ב",החלטה
תפ (בית שמש) 1386∕04,בהמשך לכך קובע אני שיתייצב הנאשם לריצוי עונשו ביום 15.6.2005 בשעה 09:00 בתחנת המשטרה במגרש הרוסים ירושלים. ו,החלטה
תפ (בית שמש) 1386∕04,"ניתנה היום ט' בניסן, תשס""ה (18 באפריל 2005) במעמד הצדדים. נ",החלטה
