verdict,text,part
"ת""פ 42697-05-18","ת""פ 42697-05-18 מדינת ישראל נ' בוקאעי(עציר)",בית המשפט המחוזי בחיפה
"ת""פ 42697-05-18","חוק העונשין, תשל""ז-1977: סע'  40ט, 144(ב), 340א",חקיקה שאוזכרה: 
"ת""פ 42697-05-18",הנאשם הורשע על סמך הודאתו בעבירות שיוחסו לו בכתב אישום שתוקן במסגרת הסדר טיעון שהושג בין הצדדים.,גזר דין
"ת""פ 42697-05-18",ההסדר לא כלל הסכמה עונשית ונקבע כי כל צד יטען טענותיו לעניין זה באופן חופשי.,גזר דין
"ת""פ 42697-05-18","בעובדות כתב האישום המתוקן (להלן: ""כתב האישום"") נאמר כי ביום 29.4.18 בשעות הערב במהלך חתונה שהתקיימה במתחם משפחת ריאן בכפר כאבול, החזיק הנאשם באקדח מסוג CZ (להלן: ""האקדח"") ומחסנית תואמת ובה 7 כדורים, ללא רשות על פי דין.",גזר דין
"ת""פ 42697-05-18","במהלך החתונה ירה הנאשם באמצעות האקדח מספר כדורים, ללא כל הסבר סביר.",גזר דין
"ת""פ 42697-05-18","בהמשך, עזב הנאשם את החתונה ונסע יחד עם אחר ברכב בו נהג האחר כשהנאשם יושב במושב הקדמי שליד הנהג.",גזר דין
"ת""פ 42697-05-18",באותה עת נשא הנאשם והוביל את האקדח והתחמושת עמו.,גזר דין
"ת""פ 42697-05-18","בהמשך, נעצר על ידי צוות שוטרים בעודו נוסע ברכב כשהאקדח מונח מתחת למושבו וכשבכיס הימני של מכנסיו תרמיל 9 מ""מ ובכיסו השמאלי 13 כדורים ו-3 תרמילים.",גזר דין
"ת""פ 42697-05-18","בגין המעשים המפורטים לעיל, הורשע הנאשם בעבירות נשק (נשיאה והובלת נשק ותחמושת) לפי סעיף 144(ב) רישא וסיפא לחוק העונשין, התשל""ז-1977 (להלן: ""חוק העונשין"") וכן בעבירה של ירי באזור מגורים לפי סעיף 340א לחוק העונשין.",גזר דין
"ת""פ 42697-05-18","בטיעוניה לעונש ציינה המאשימה כי הערכים החברתיים המוגנים שנפגעו במקרה דנן הם שלום הציבור, ביטחונו, בריאותו ושלמות גופו.",גזר דין
"ת""פ 42697-05-18","נטען כי זמינותם של כלי נשק העוברים מיד ליד, בין אם לידיים עברייניות ובין אם לידי מפגעים למיניהם, תורמת להגדלת מעגל האלימות על כל הנובע מכך.",גזר דין
"ת""פ 42697-05-18","נשיאתו של נשק חם באופן בלתי חוקי, תוך עשיית שימוש בו, מקרבת את הסיכון לאלימות קשה עד קטלנית.",גזר דין
"ת""פ 42697-05-18","המאשימה הוסיפה כי כלל הנסיבות המנויות בסעיף 40ט לחוק העונשין מתקיימות בענייננו, על הצד החמור.",גזר דין
"ת""פ 42697-05-18","כך לגבי חלקו של הנאשם בביצוע העבירה שהינו מוחלט ולהעדר כל סיבה לביצוע העבירה, כמו גם יכולתו להבין את אשר הוא עושה ואת הפסול במעשיו וכך לגבי פוטנציאל הנזק שהיה צפוי להיגרם מנשיאת הנשק והתחמושת ומהירי שבוצע באזור מגורים.",גזר דין
"ת""פ 42697-05-18","בהתחשב בנסיבות ביצוע העבירות ובמדיניות הענישה הנוהגת במקרים דומים, עתרה המאשימה לקבוע כי מתחם העונש ההולם בתיק זה נע בין שנתיים ל-4 שנות מאסר בפועל.",גזר דין
"ת""פ 42697-05-18","נוכח הודאתו של הנאשם במיוחס לו והזמן השיפוטי שנחסך עקב כך, ביקשה המאשימה להטיל על הנאשם עונש מאסר בפועל במחצית הראשונה של מתחם הענישה.",גזר דין
"ת""פ 42697-05-18","זאת, לצד מאסר מותנה וקנס.",גזר דין
"ת""פ 42697-05-18","הסנגור מצדו הדגיש בפתח דבריו כי מדובר בצעיר כבן 24, נעדר כל עבר פלילי, אשר גדל בנסיבות משפחתיות קשות ועבר ניסיון אובדני במהלך שנת 2016 כאשר ירה לעצמו בראשו, ונפגע עקב כך פגיעה חמורה.",גזר דין
"ת""פ 42697-05-18","בהתייחס לנסיבות הקשורות בביצוע העבירה טען ב""כ הנאשם, כי שולחו סובל מפגיעה אורגנית מוחית כתוצאה מהניסיון האובדני ומכאן שמדובר במי שסובל ממגבלה שכלית ממשית ומתקשה להבין כהלכה את הפסול שבמעשיו או את חומרתם ומשמעותם.",גזר דין
"ת""פ 42697-05-18","בנסיבות אלו סבור הסנגור, כי קיימת קרבה לסייג לאחריות פלילית שלה יש ליתן משקל ממשי בקביעת מתחם העונש.",גזר דין
"ת""פ 42697-05-18","בנוסף, הפנה הסנגור לעובדה כי מעשיו של הנאשם לא גרמו לכל נזק לגוף או לרכוש וכי הובלת הנשק ונשיאתו היו למרחק קצר ביותר.",גזר דין
"ת""פ 42697-05-18",ההגנה סבורה כי מתחם העונש ההולם בענייננו נע בין מספר חודשי מאסר בודדים בפועל ועד לשנת מאסר אחת.,גזר דין
"ת""פ 42697-05-18","לדעת הסנגור, יש מקום לסטות ממתחם העונש ההולם מחמת שיקולי צדק הנעוצים במגבלה החמורה שנגרמה לנאשם כתוצאה מהניסיון האובדני, ובנסיבות חייו הקשות באופן קיצוני.",גזר דין
"ת""פ 42697-05-18","לפיכך, ביקש ב""כ הנאשם להסתפק בתקופת מאסרו של שולחו הנתון במעצר מאז יום 29.4.18.",גזר דין
"ת""פ 42697-05-18","בדברו האחרון, הביע הנאשם צער על מעשיו, התחייב שלא לחזור על מעשים דומים וביקש הזדמנות להשתקם ולהתקדם בחייו.",גזר דין
"ת""פ 42697-05-18","ככלל, מתחם הענישה ההולם ייקבע בהתאם לעקרון ההלימה ולשם כך על בית המשפט להתחשב בערכים החברתיים שנפגעו מביצוע העבירה, במידת הפגיעה בהם, במדיניות הענישה הנהוגה ובנסיבות הקשורות בביצוע העבירה.",גזר דין
"ת""פ 42697-05-18","הערך החברתי שנפגע מביצוע העבירות במקרה זה הינו הערך של הגנה על ביטחון הציבור, שלומו ובריאותו.",גזר דין
"ת""פ 42697-05-18",נשיאתו והובלתו של נשק חם יוצרת סיכון שהנשק יגיע בסופו של יום לידי גורמים שיעשו בו שימוש למטרות פסולות.,גזר דין
"ת""פ 42697-05-18","בנוסף, ירי באמצעות נשק באזור מגורים, אף אם הוא מכוון לאוויר ונועד להביע שמחה, יש בו כדי ליצור סיכון ממשי לפגיעה בחפים מפשע.",גזר דין
"ת""פ 42697-05-18","נוהג זה, הקיים במגזרים מסוימים בחברה הערבית ראוי לגינוי והוקעה, שכן הוא טומן בחובו סיכון לבאי השמחה בה נעשה הירי, כמו גם לעוברי אורח תמימים.",גזר דין
"ת""פ 42697-05-18",היו אף מקרים בעבר בהם קופחו חיי אדם או נגרמו חבלות חמורות כתוצאה מאותו ירי.,גזר דין
"ת""פ 42697-05-18",נכון הוא שלא מדובר בירי הנעשה במסגרת חיסול חשבונות או יישוב סכסוכים עברייניים.,גזר דין
"ת""פ 42697-05-18","יחד עם זאת, מדובר בתופעה המסכנת חיי אדם, אותה יש לעקור מן השורש, גם על דרך של הטלת ענישה ממשית.",גזר דין
"ת""פ 42697-05-18","חומרתה של עבירת הירי מנשק באזור מגורים, על ההשלכות הקשות הנובעות הימנה הובילה את המחוקק להחמרת העונש הקבוע לצדה (ראו תיקון 134 לחוק העונשין שהתקבל ביום 16.7.18).",גזר דין
"ת""פ 42697-05-18","תיקון זה אומנם לא חל בענייננו, שכן העבירה בוצעה עובר לתיקון החוק, אך הוא מלמד על מגמת ההחמרה בענישה המתחייבת במקרים מסוג זה.",גזר דין
"ת""פ 42697-05-18",על חומרתן של עבירות הנשק עמד בית המשפט העליון לא אחת.,גזר דין
"ת""פ 42697-05-18","בע""פ 1323/13 חסן נ' מדינת ישראל  (5.6.17) נקבע כי:",גזר דין
"ת""פ 42697-05-18","בע""פ 9702/16 סאמי אבו אלוליאיה נ' מדינת ישראל (13.9.17) נקבע כי:",גזר דין
"ת""פ 42697-05-18","כן ראו דברי בית המשפט בע""פ 135/17 מדינת ישראל נ' סמיר בסך (8.3.2017):",גזר דין
"ת""פ 42697-05-18","החזקת ונשיאת נשק, תוך שהוא מציין את חומרת המעשה ואת פוטנציאל הנזק הכרוך בו.",גזר דין
