verdict,text,part
תפ (נת') 4363∕05,"הנאשם הורשע על פי הודאתו בעבירה של החזקת נשק ותחמושת, לפי סעיף 144(א) רישא לחוק העונשין, התשל""ז-1977 (להלן: ""החוק"").",גזר דין
תפ (נת') 4363∕05,התביעה עותרת לגזור על הנאשם מאסר בפועל לריצוי מאחורי סורג ובריח ומאסר על תנאי.,גזר דין
תפ (נת') 4363∕05,ההגנה עותרת להסתפק במאסר קצר לריצוי בעבודת שירות.,גזר דין
תפ (נת') 4363∕05,"על פי העובדות בהן הודה הנאשם, בשנת 1988 רכש הנאשם אקדח חצי אוטומטי, אותו החזיק ללא רשות כדין, עד ליום 24/5/05 במגרה שבארון בביתו. בנוסף החזיק הנאשם ללא רשות כדין, שתי מחסניות ו-14 כדורים.",גזר דין
תפ (נת') 4363∕05,"עוד מוסכם בין הצדדים באשר לנסיבות החזקת הנשק, כי הנאשם רכש את הנשק בסמוך לעלייתו ארצה מאתיופיה וזאת כיוון שנהג להחזיק בארץ הולדתו באקדח לצורך צייד וכן כי לא נעשה שימוש כלשהו באקדח.",גזר דין
תפ (נת') 4363∕05,"לחומרא יש לזקוף את העבירה עצמה כאשר מובנה בה  הסיכון כי ייעשה בנשק שימוש שיש בו כדי לסכן את שלום הציבור. בשל חומרת העבירה וכן נפיצותה, בד""כ מוטל עונש מאסר בפועל גם על מי שזו עבירתו הראשונה (ר' רע""פ 2718/04 אבו דאחל).",גזר דין
תפ (נת') 4363∕05,"לנאשם שהינו כבן 40, נשוי ואב ל-8 ילדים הרשעה בעבירת איומים כלפי אשתו מ-23/5/05. למעשה הנשק והתחמושת התגלו בעקבות הגשת התלונה ע""י אשת הנאשם שציינה במענה לשאלת החוקרים, כי בעלה מחזיק בנשק.",גזר דין
תפ (נת') 4363∕05,לקולא יש לזקוף את ההודאה והחרטה שהביע הנאשם הן בחקירתו במשטרה והן בבית  המשפט.,גזר דין
תפ (נת') 4363∕05,"נסיבות ביצוע העבירה שאינן שנויות במחלוקת, אינן של החזקה על רקע עבריינות. מדובר ברכישת הנשק בהיות הנאשם צעיר לפני כ-19 שנה, בסמוך לעליתו ארצה ועל רקע התרבות מארץ הולדתו, כאשר מעולם לא נעשה שימוש בנשק אף לא באיום בשימוש בו.",גזר דין
תפ (נת') 4363∕05,"למעט הרשעתו בעבירת איומים כלפי אשתו, לפני כשנתיים על רקע מחלוקות וקשיים כלכליים – מנהל הנאשם אורח חיים נורמטיבי, שירת שירות צבאי מלא, עובד בעבודות מזדמנות לפרנסת בני משפחתו כאשר שניים מבניו הינם חיילים קרביים בצבא.",גזר דין
תפ (נת') 4363∕05,הסניגורית הפנתה למצבו הכלכלי הקשה של הנאשם (ר' מסמכים ע/3) כאשר הטלת עונש מאסר בפועל ממושך יוציא אותו ממעגל העבודה ויעמיקו את הקושי הכלכלי של הנאשם ובני משפחתו.,גזר דין
תפ (נת') 4363∕05,"לאחר ששקלתי את השיקולים השונים, שוכנעתי כי השיקולים לחומרא והאינטרס הציבורי מחייבים הטלת ענישה מוחשית, ומרתיעה הכוללת עונש מאסר בפועל. עם זאת יש בשיקולים לקולא, ובעיקר בנסיבות ביצוע העבירה, כדי להשליך על אורך המאסר בפועל ואופן ריצויו.",גזר דין
תפ (נת') 4363∕05,לפיכך אני גוזרת על הנאשם את העונשים הבאים:,גזר דין
תפ (נת') 4363∕05,5 חודשים מאסר בפועל  שירוצו בעבודת שירות במרכז גריאטרי דורה.,גזר דין
תפ (נת') 4363∕05,תחילת העבודה ביום 19/6/07.,גזר דין
תפ (נת') 4363∕05,8 חודשים מאסר על תנאי והתנאי הוא שהנאשם לא יעבור תוך שנתיים עבירה לפי סעיף 144(א) רישא לחוק העונשין.,גזר דין
תפ (נת') 4363∕05,5 חודשים מאסר על תנאי והתנאי הוא שהנאשם לא יעבור תוך שנתיים עבירה לפי סעיף 144(א) סיפא לחוק העונשין.,גזר דין
תפ (נת') 4363∕05,"ניתן היום כ""ח באייר, תשס""ז (16 במאי 2007) במעמד הצדדים.",רות לורך 54678313-4363/05
תפ (נת') 4363∕05,נוסח מסמך זה כפוף לשינויי ניסוח ועריכה,סגן נשיא
