verdict,text,part
"תפ (פ""ת) 3792∕05",בית משפט השלום פתח-תקוה,בתי משפט
"תפ (פ""ת) 3792∕05",בית משפט השלום פתח-תקוה,בתי משפט
"תפ (פ""ת) 3792∕05",בית משפט השלום פתח-תקוה,פ  003792/05
"תפ (פ""ת) 3792∕05",בית משפט השלום פתח-תקוה,פ  003792/05
"תפ (פ""ת) 3792∕05","חוק העונשין, תשל""ז-1977: סע'  144, 144(א)",חקיקה שאוזכרה: 
"תפ (פ""ת) 3792∕05",הנאשם הורשע לאחר שמיעת הראיות בביצוע עבירה של החזקת נשק שלא כדין בניגוד,גזר דין
"תפ (פ""ת) 3792∕05","לסעיף 144(א) לחוק העונשין, התשל""ז- 1977.
",גזר דין
"תפ (פ""ת) 3792∕05",ביום 18/10/05 בשעה 05:00 הגיע הנאשם במונית לקרבת ביתו ובחזקתו אקדח מסוג,גזר דין
"תפ (פ""ת) 3792∕05","גלוק הטעון במחסנית ובה כדורים בקוטר של 9 מ""מ. משהבחין בניידת משטרתית שחנתה בסמוך שם פעמיו לבניין הממוקם בקרבת מקום, בו התגורר דודו והסתיר את הנשק והמחסנית מתחת למרבד הכניסה של דירה בקומה השניה.",גזר דין
"תפ (פ""ת) 3792∕05","ב""כ המאשימה הדגישה את חומרת נסיבות ביצוע העבירה, לרבות החזקת האקדח כשהוא טעון, באישון ליל ובהיות הנאשם בגילופין.",גזר דין
"תפ (פ""ת) 3792∕05","כן הדגישה לחומרה את עברו הפלילי המכביד של הנאשם , חרף גילו הצעיר ואת העובדה כי כיום הינו מרצה עונש מאסר בפועל למשך 12 חודשים בגין עבירת רכוש.",גזר דין
"תפ (פ""ת) 3792∕05","בהסתמך על פסיקה שהגישה עתרה ב""כ המאשימה לבית המשפט להעדיף  את האינטרס הציבורי על פני נסיבותיו האישיות של הנאשם ולהשית עליו עונש של מאסר בפועל משמעותי שירוצה במצטבר לעונש המאסר אותו הינו מרצה .",גזר דין
"תפ (פ""ת) 3792∕05","ב""כ הנאשם הדגיש כי נסיבות ביצוע העבירה אינן מהחמורות בשים לב לכך כי הנאשם לא עשה כל שימוש באקדח. כן הדגיש שעברו הפלילי של הנאשם אינו מכביד ואינו כולל עבירות ממין זו בה הורשע וכי כיום הינו מרצה לראשונה בחייו עונש של מאסר.",גזר דין
"תפ (פ""ת) 3792∕05","בהסתמך על פסיקה שהגיש עתר לבית המשפט להקל בעונשו של הנאשם ולהשית עליו מאסר לתקופה שלא תעלה על שנה, החופפת לתקופת מעצרו בגין תיק זה.",גזר דין
"תפ (פ""ת) 3792∕05","הנאשם הינו צעיר לימים, יליד שנת 1985 . עיון בגליון רישומיו הפליליים מעלה כי החל משחר נעוריו בחר בפשע כאורח חייו.",גזר דין
"תפ (פ""ת) 3792∕05","בשנת 2003 נשפט בבית משפט לנוער בגין ביצוע שורה ארוכה של עבירות שעניינן זיוף, גניבה , הפרת הוראה חוקית , פריצה לרכב, גניבה מרכב ותקיפת שוטר בעת מילוי תפקידו והוטל עליו צו מבחן למשך שנה.",גזר דין
"תפ (פ""ת) 3792∕05",בשנת 2005 הורשע בגין ביצוע מספר עבירות של החזקת סמים מסוכנים לצריכה עצמית וכן שיבוש מהלכי משפט והושתה עליו ענישה הצופה פני עתיד.,גזר דין
"תפ (פ""ת) 3792∕05","בשנת 2006 הורשע הנאשם בגין ביצוע עבירות פריצה לבנין לשם גניבה , היזק לרכוש במזיד וגניבה בגינם הוטלו עליו 6 חודשי מאסר בפועל. כמו כן הופעל מאסר מותנה אשר היה תלוי ועומד כנגדו לתקופה של 6 חודשים במצטבר לו ובסך הכל נגזרה עליו תקופת מאסר של 12 חודשים אותם הינו מרצה כיום.",גזר דין
"תפ (פ""ת) 3792∕05","משנה חומרה בעבירה אותה ביצע הנאשם ולא בכדי קבע המחוקק את עונש המאסר הנקוב בצידה  לשבע שנים, שהינו הרף העליון של העבירות אשר בסמכותו של בית משפט זה.",גזר דין
"תפ (פ""ת) 3792∕05","אף לא ראיתי עין בעין עם ב""כ הנאשם את קולת נסיבות ביצוע העבירה. החזקה שלא כדין של  אקדח טעון במחסנית, בעיבורה של עיר, באישון ליל, על ידי הנאשם, אשר דרך העבריינות אינה זרה לו ובהיותו בגילופין, מקימה על פניה פוטנציאל סיכון לתוצאות הרות אסון, כלפי עוברי אורח. לא כל שכן לנוכח הגידול המשמעותי שחל בשימוש בכלי נשק בקרב העבריינים  לרבות בעת ביצוע עבירות רכוש ו""יישוב"" סכסוכים ביניהם.",גזר דין
"תפ (פ""ת) 3792∕05","באשר לרמת הענישה בגין עבירה זו, יפים דברי בית המשפט בע""פ 1332/04 - מדינת ישראל נ' יצחק רפאל פס ואח' . פ""ד נח(5), 541 ,עמ' 543-544 כדלקמן:",גזר דין
"תפ (פ""ת) 3792∕05",ענישה מחמירה ומציבת גבולות נדרשת ביתר שאת בעניינו של הנאשם שבפני. זאת בשים,גזר דין
"תפ (פ""ת) 3792∕05","לב לעברו הפלילי המכביד, למרות גילו הצעיר. כמו כן בשל כך שלא השכיל לפרש נכונה את הענישה המקלה אשר הושתה עליו בעבר ושב על מעשיו והסלימם חרף מאסרים מותנים שהושתו עליו והינו מרצה כיום מאסר לתקופה בלתי מבוטלת. ואף בשל אי לקיחת האחריות על ביצוע העבירה, עובדה המותירה את מסוכנותו במלוא חומרתה בהעדר הסבר מצידו לפשר החזקת האקדח והמחסנית ובשים לב לאופן התנהלותו העבריינית לשם הסתרת האקדח והמחסנית מפני השוטרים.",גזר דין
"תפ (פ""ת) 3792∕05","הפסיקה שהוצגה על ידי ב""כ הנאשם היתה לנגד עיני. ואולם, כל מקרה לנסיבותיו וקיימת פסיקה שונה , אשר הענישה על פיה מחמירה באופן משמעותי .",גזר דין
"תפ (פ""ת) 3792∕05","אף התקשיתי למצוא נסיבות לזקוף לזכותו של הנאשם. ואולם בסופו של יום, לא אמצה עימו את הדין, זאת בשל גילו הצעיר, בשל כך כי הינו מרצה עתה לראשונה בחייו עונש של מאסר ובשל כך כי הגם שעברו הפלילי מכביד אינו כולל עבירות ממין זו בה הורשע .",גזר דין
"תפ (פ""ת) 3792∕05","עם זאת יצויין כי לא מצאתי כל נימוק לקולא לסטות מהוראת החוק ולהורות על ריצוי תקופת המאסר שתגזר עליו בחופף לזו שהינו מרצה. אף לא מצאתי מקום להיעתר לבקשת ב""כ הנאשם ולנכות מתקופת המאסר אשר ייגזר את מלוא תקופת מעצרו של הנאשם, בשים לב לכך כי החל מיום 23.3.06 הינו מרצה עונש מאסר בגין תיק אחר.",גזר דין
"תפ (פ""ת) 3792∕05",אשר על כן אני גוזרת על הנאשם את העונשים הבאים:,גזר דין
"תפ (פ""ת) 3792∕05","מאסר למשך 24 חודשים, אשר ירוצו במצטבר לכל עונש מאסר אותו מרצה הנאשם.",גזר דין
"תפ (פ""ת) 3792∕05","מתקופה זו תנוכה תקופת מעצרו של הנאשם , החל מיום מעצרו 18.10.05 ועד למועד בו החל לרצות מאסר 23.3.06.",גזר דין
"תפ (פ""ת) 3792∕05",12 חודשים מאסר על תנאי לבל יעבור במשך 3 שנים כל עבירה בניגוד לסעיף 144,גזר דין
"תפ (פ""ת) 3792∕05","לחוק העונשין התשל""ז-1977.",גזר דין
"תפ (פ""ת) 3792∕05",54678313אני מורה כי האקדח והמחסנית יחולטו.,5129371
"תפ (פ""ת) 3792∕05",זכות ערעור לבית משפט המחוזי בתוך 45 ימים מהיום.,5129371
"תפ (פ""ת) 3792∕05","ניתנה היום ג' בחשון, תשס""ז (25 באוקטובר 2006) במעמד הצדדים.",דבורה עטר 54678313-3792/05
