verdict,text,part
תפ (חי') 6019∕07,"חוק העונשין, תשל""ז-1977",חקיקה שאוזכרה: 
תפ (חי') 6019∕07,"הנאשם הורשע ע""ס הודייתו בעובדות כתב האישום המתוקן בעבירות בנשק לפי סעיפים 144(א) + 144(ב) לחוק העונשין, התשל""ז-1977.",גזר דין
תפ (חי') 6019∕07,"כעולה מכתב האישום המתוקן ומהודיית הנאשם, בתחילת אוקטובר 06 נפרצה דירה בחיפה ומהכספת שבדירה נגנב אקדח מסוג ברטה, 2 מחסניות וכדורים לאקדח.",גזר דין
תפ (חי') 6019∕07,"ב-14/2/07, הבחינו שני אנשי משטרה, בנאשם וקראו לו לעצור. הנאשם פתח בריצה, תוך שהוא משליך דבר מה מידו. בחיפוש במקום נתגלו האקדח והמחסנית ובה 10 כדורים, כשהם עטופים בניילון ובשתי גרביים. ",גזר דין
תפ (חי') 6019∕07,"במעשיו המתוארים לעיל, החזיק הנאשם ונשא אקדח ותחמושת שלא ברשות על פי דין להחזקתם ולנשיאתם.",גזר דין
תפ (חי') 6019∕07,"הודיית הנאשם במיוחס לו בכתב האישום המתוקן, באה לאחר הסדר טיעון לפיו תוקן כתב האישום המקורי והתביעה התחייבה לעתור להטלת עונש מאסר בפועל בן 18 חודשים וכן מאסר מותנה וקנס, ואילו הסניגוריה התחייבה לבקש עונש של 6 חודשי מאסר בפועל מאחורי סורג ובריח וכן מאסר על תנאי וקנס.",גזר דין
תפ (חי') 6019∕07,"כחלק מהסדר הטיעון הוסכם בין הצדדים, כי ההגנה רשאית לטעון שהאקדח הוחזק ע""י הנאשם זמן קצר לצורך החבאתו ואילו התביעה ציינה שאין בידה ראיות לסתור טענה זו.",גזר דין
תפ (חי') 6019∕07,"התביעה הגישה במסגרת ראיותיה לעונש את גליון ההרשעות הקודם של הנאשם שהנו רצוף הרשעות קודמות בעבירות רכוש וסמים החל משנת 87 ועד שנת 04. יצוין, כי משנת 97 ועד לביצוע העבירות הנוכחיות ביצע הנאשם ""רק"" שתי עבירות רכוש עליהן לא נדון לעונשי מאסר בפועל.",גזר דין
תפ (חי') 6019∕07,מטעמו של הנאשם העידו עדי אופי: יעקב אילוז ואבי חן.,גזר דין
תפ (חי') 6019∕07,"מר אילוז הנו מנהל מוסד לנפגעי סמים. הוא מכיר את הנאשם כ-15 שנים. בתקופה ההיא השתמשו הן הנאשם והן העד בסמים קשים. הוא ציין כי הנאשם עבר בשנת 99 טיפולי גמילה ושיקום שצלחו ואח""כ בשנת 04 הועסק ע""י העד כמדריך חברתי עד שפוטר בעקבות צמצומים.",גזר דין
תפ (חי') 6019∕07,"אליבא דמר אילוז, היה הנאשם נערץ על המטופלים בשל סבלנותו וחוכמתו. עוד סיפר על הקושי שעובר מי שהיה מכור לסם ונגמל ועד כמה קשה להתמיד ב""נקיון"" מהסם. הוא הביע חששו שהנאשם יחזור לסורו בכל הקשור לצריכת הסם, אם ימצא בסביבה עבריינית שבה צורכים סמים (בית סוהר).",גזר דין
תפ (חי') 6019∕07,"מר אבי חן עוסק בשיקום אסירים. הנאשם שוהה בביתו ב""מעצר בית"" מזה חודשיים. כמו כן, הצליח לשלב את ילדי הנאשם בבית ספר במשמר הירדן לשנת הלימודים הבאה.",גזר דין
תפ (חי') 6019∕07,"ב""כ המאשימה, ביקשה לגזור על הנאשם 18 חודשי מאסר בפועל, מאסר מותנה וקנס. היא עמדה על הצורך להחמיר במקרים מעין אלו בשל הסיכון הנובע מהם.",גזר דין
תפ (חי') 6019∕07,"אליבא דהתביעה, אף אם האקדח הוחזק ע""י הנאשם זמן קצר לצורך הסתרתו, הרי שהעונש שנדרש ע""י המאשימה משקלל עובדה זו וכן את נסיבותיו האישיות של הנאשם והודייתו במיוחס לו.",גזר דין
תפ (חי') 6019∕07,"עוד טענה ב""כ המאשימה כי הנאשם ידע, מן הסתם, כי האקדח מוחזק שלא כדין וכי נובעת מהחזקתו סכנה לציבור.",גזר דין
תפ (חי') 6019∕07,"ב""כ המאשימה עמדה על עברו הפלילי של הנאשם שגרר אחריו מאסרים בפועל. היא לא התעלמה מכך שבשנים האחרונות היטיב דרכיו אך ציינה, כי גם בשנים 2002, ו-2004 מעד והסתבך בפלילים.",גזר דין
תפ (חי') 6019∕07,"ב""כ הנאשם עמד על נסיבותיו האישיות של הנאשם שהנו אב ל-4 ילדים, שהקטן בהם הוא בן 8 חודשים. הנאשם גדל עם אב אלכוהליסט ובתנאים מאד קשים. חרף זאת, שירת 3 שנים בצה""ל. לאחר מכן התמכר לסמים, במשך 11 שנים. זו היתה הסיבה להסתבכותו בפלילים (עבירות רכוש וסמים). בהמשך, עבר טיפולי גמילה ושיקום במשך שנתיים. מאז 1997 הסתבך ""רק"" בשתי עבירות, שהאחרונה שבהן היתה בעקבות פיטוריו מעבודתו.",גזר דין
תפ (חי') 6019∕07,"הסניגור טען, כי הנסיבות המפורטות בכתב האישום מעידות על המדרג התחתון של החומרה שבעבירות הנדונות.",גזר דין
תפ (חי') 6019∕07,"אליבא דהסניגור, רק עונש מתון יאפשר לו ""לצאת בשלום"" מהכלא ולא לחזור לסורו.",גזר דין
תפ (חי') 6019∕07,"ב""כ הנאשם ביקש לגזור על מרשו ""רק"" 6 חודשי מאסר מאחורי סורג ובריח וכן מאסר מותנה וקנס סימלי.",גזר דין
תפ (חי') 6019∕07,שני הצדדים הפנו אותי לפסיקה תקדימית התומכת לדעתם בעמדתם. ,גזר דין
תפ (חי') 6019∕07,"הנאשם, בדברו האחרון, עמד על המהפכים בחייו, על העליות והמורדות ועל גמילתו מסמים. הוא הביע חרטה על מעשיו וביקש ליתן לו הזדמנות נוספת. כמו כן, הבטיח שלא לחזור לסורו.",גזר דין
תפ (חי') 6019∕07,"העבירות שעבר הנאשם הן חמורות. בהחזקת נשק שלא כדין ובנשיאתו גלומים סיכונים משמעותיים לציבור. חדשים לבקרים עושים עבריינים שימוש בנשק למטרות פליליות, כולל לחיסול חשבונות בעולם התחתון וממעשים אלו נפגעים, לא אחת, חפים מפשע.",גזר דין
תפ (חי') 6019∕07,שומה על בתי המשפט ליתן ביטוי לחומרה ולסיכון דלעיל ולהטיל בגין העבירות ענישה מרתיעה.,גזר דין
תפ (חי') 6019∕07,"לחומרא, אשקול גם את נסיונו של הנאשם להמלט מהשוטרים, כמתואר בכתב האישום, על מנת שלא יתפס כשהוא נושא הנשק.",גזר דין
תפ (חי') 6019∕07,"במקרה הנדון, לא אוכל גם להתעלם מעברו הפלילי הכבד של הנאשם שהסתבך פעמים הרבה בעבירות רכוש וסמים ואף ריצה בעבר עונשי מאסר בפועל.",גזר דין
תפ (חי') 6019∕07,"מנגד, יש ליתן משקל לקולא לנסיבותיו האישיות של הנאשם כפי שפורטו ע""י סניגורו. הנאשם הצליח לעבור הליך גמילה ושיקום ומאז 1997 נראה, כי חל שיפור מהותי באורח חייו. הוא פסק להיות עבריין סידרתי, אם כי הסתבך ב-2 עבירות נוספות, בגינן לא נדון למאסר בפועל, ובעבירה הנדונה.",גזר דין
תפ (חי') 6019∕07,"לנגד עיני עומדת עדותו של מנהל המוסד לטיפול בנפגעי סמים, מר אילוז, בדבר הליך השיקום הקשה שעבר הנאשם ובדבר החשש להתדרדרות נוספת עקב שהייה בחברה עבריינית הצורכת סמים. יחד עם זאת לא אוכל להתעלם מהאינטרס הציבורי החייב אף הוא לבוא לידי ביטוי בענישתו של הנאשם.",גזר דין
תפ (חי') 6019∕07,"בהתחשב בכל האמור לעיל ובטיעוני ב""כ הצדדים אני גוזר על הנאשם 24 חודשי מאסר מתוכם 12 חודשי מאסר לריצוי בפועל והיתרה מותנית, למשך 3 שנים, לבל יעבור עבירות בנשק לפי סעיף 144 לחוק העונשין, התשל""ז-1977.",גזר דין
תפ (חי') 6019∕07,מתקופת המאסר תנוכה תקופת מעצרו החל מיום 14/2/07 ועד 5/3/07.,גזר דין
תפ (חי') 6019∕07,"כמו כן, אני מטיל על הנאשם קנס בסך 2,500 ₪ שישולם ב-5 תשלומים חודשיים שווים ורצופים החל מחודש לאחר שחרורו ממאסר. אי עמידה באחד התשלומים תעמיד את מלוא הקנס לתשלום מיידי. היה והנאשם לא ישלם את הקנס יאסר למשך 30 יום.",גזר דין
תפ (חי') 6019∕07,"תשומת לב שב""ס לעדותו של מר אילוז כמפורט בגזר הדין ולפיכך מומלץ כי הנאשם ישובץ בכלא עם אסירים ""הנקיים"" מסמים. כמו כן, מוצע כי תשקל אפשרות שיבוצו של הנאשם בתכנית שיקומית.",גזר דין
תפ (חי') 6019∕07,"זכות ערעור לביהמ""ש העליון תוך 45 יום מהיום. ",גזר דין
תפ (חי') 6019∕07,"ניתן היום י""ג באייר, תשס""ז (1 במאי 2007) במעמד הצדדים.",גזר דין
תפ (חי') 6019∕07,"מבקש לעכב את ביצוע ריצוי עונש המאסר. למרות שהסכמנו שיוטל עונש מאסר לא צפינו כי גזר הדין ינתן היום. יש מספר סידורים הכרחיים שהוא מוכרח לעשות טרם כניסתו למאסר. בתיק זה מופקד ערבון כספי בסך של 10,000 ₪. כמו כן ישנם מספר ערבים המאושרים ע""י ביהמ""ש ללוות את הנאשם ליציאות שונות. במהלך התקופה בה שהה הנאשם במעצר בית, נאותה המדינה להסכים ליציאתו לאירועים שונים, גם חתונה וגם שהייה בביתו, הוא לא הפר את האמון הזה. אין שום חשש אמיתי להתיצבותו. אני מבקש כי ביהמ""ש ידחה את תחילת ריצוי המאסר בפועל לעוד שבועיים. יש גם אלמנטריים, כמו להפרד מהילדים, ללכת איתם פעם אחרונה לביה""ס. הערבים מוכנים להמשיך ולהיות ערבים עד להתיצבותו לריצוי מאסרו.","ב""כ הנאשם:"
תפ (חי') 6019∕07,"אין התנגדות לעיכוב הביצוע המבוקש, אני מבקשת כי תנאי השחרור ישארו על כנם. הנאשם משוחרר למעצר בית באיזוק אלקטרוני. יש צו עיכוב יציאה מהארץ נגד הנאשם.","ב""כ המאשימה:"
תפ (חי') 6019∕07,"במהלך הארכה שניתנת למרשי, הוא יאלץ לבקש אישור לצאת מ""מעצר הבית"" על מנת לסדר סידורים כגון: הליכה לביטוח הלאומי.","ב""כ הנאשם:"
תפ (חי') 6019∕07,"נבדוק כל בקשה לגופה ואני מציעה כי ינתן היתר כללי ליציאה מ""מעצר הבית"" באישור התביעה, ובלבד שהסניגור ידאג להודיע על כל יציאה מאושרת לחברה האחראית על האיזוק האלקטרוני וישגר להם את הסכמתנו.","ב""כ המאשימה:"
תפ (חי') 6019∕07,"אני מבקש להורות על החזרת המוצגים הבאים שנתפסו אצל הנאשם: 500 דולר, טלפון סלולרי וכן 600 ₪.","ב""כ הנאשם:"
תפ (חי') 6019∕07,"מסכימה ומבקשת להורות על החזרת האקדח שפרטיו מופיעים בכתב האישום לבעליו, מר ישראל ניסנבוים ובלבד שימציא רישיון בתוקף.","ב""כ המאשימה:"
תפ (חי') 6019∕07,אני נעתר לבקשת הסניגור. ,החלטה
תפ (חי') 6019∕07,"הנאשם יתייצב לריצוי עונשו במזכירות הפלילית של ביהמ""ש המחוזי בחיפה ביום 15/5/07 שעה 08:00. עד להתיצבותו למאסרו, ישהה הנאשם ב""מעצר בית"", בתנאים שנקבעו ע""י כב' השופט שפירא בהחלטתו אודות המעצר. תנאי השחרור ממעצר, יעמדו בעינם עד להתיצבותו של הנאשם לריצוי עונשו. ",החלטה
תפ (חי') 6019∕07,"במהלך התקופה עד לתחילת ריצוי העונש, יהא הנאשם רשאי לצאת לסידורים מ""מעצר הבית"" ובלבד שתינתן על כך הודעה מוקדמת לתביעה ויתקבל אישורה של התביעה ליציאה זו. היה והתביעה לא תאשר היציאה, יוכל הסניגור לפנות כמובן לשופט שהורה על מעצר הבית. לאחר אישור התביעה, יודיע הסניגור על דבר האישור לחברה האחראית על האיזוק האלקטרוני וישלח להם בפקס את אישורה של התביעה.",החלטה
תפ (חי') 6019∕07,"סכומי הכסף שנתפסו אצל הנאשם, דהיינו 500 דולר, 600 ₪ וכן הטלפון הסלולרי שנתפס אצלו – יוחזרו לנאשם.",החלטה
תפ (חי') 6019∕07,"המשטרה תחזיר למר ישראל ניסנבוים משד' הנדיב 13 בחיפה, את האקדח מסוג ברטה שמספרו:",החלטה
תפ (חי') 6019∕07,Y78280B ובלבד שיציג רישיון בר תוקף להחזקתו של אותו אקדח.,החלטה
תפ (חי') 6019∕07,שיף 54678313-6019/07,54678313
תפ (חי') 6019∕07,"ניתנה היום י""ג באייר, תשס""ז (1 במאי 2007) במעמד הצדדים.",54678313
תפ (חי') 6019∕07,נוסח מסמך זה כפוף לשינויי ניסוח ועריכה,יהודית ד. 
